SEX,AGE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
2,71,1049175,1049204,1050325,1091066,1127059,1201663,1349353,1295947,1308944,1305683,1738342
2,72,1010549,1010575,1021272,1032058,1072821,1107930,1182567,1327296,1275746,1288516,1285319
2,73,949097,949119,955647,1001666,1012914,1052604,1088328,1161082,1304254,1253585,1266423
2,74,927863,927902,927157,935292,981096,991633,1031799,1066298,1138535,1278786,1229353
2,75,899069,899118,906212,905415,914070,958315,969924,1008617,1043323,1113782,1251144
2,76,823266,823310,828140,882651,882577,890498,935078,945608,984420,1018201,1087069
2,77,823446,823499,818293,804073,857912,857234,866344,909007,920274,958012,991039
2,78,797665,797715,799407,792067,778974,830578,831333,839498,882037,892871,929716
2,79,791961,792028,781045,770948,764656,751234,802660,802640,811691,852794,863424
2,80,764952,765013,770514,750117,741183,734473,722998,771774,772920,781570,821411
2,81,717995,718062,716545,736654,717900,708631,703950,691917,740040,741083,749613
2,82,698438,698526,695556,681371,701497,682711,675731,670275,659951,705866,707051
