pop,age,lx
IN,94,8202
IN,95,6404
IN,96,4866
IN,97,3604
IN,98,2597
IN,99,1819
IN,100,1237
IA,0,100000
IA,1,99474
IA,2,99434
IA,3,99394
IA,4,99370
IA,5,99357
IA,6,99350
IA,7,99338
IA,8,99311
IA,9,99299
IA,10,99289
IA,11,99267
IA,12,99260
IA,13,99241
IA,14,99223
IA,15,99194
IA,16,99154
IA,17,99120
IA,18,99076
IA,19,99015
IA,20,98952
IA,21,98888
IA,22,98821
IA,23,98755
IA,24,98671
IA,25,98597
IA,26,98511
IA,27,98414
IA,28,98332
IA,29,98241
IA,30,98122
IA,31,97990
IA,32,97860
IA,33,97740
IA,34,97583
IA,35,97406
IA,36,97248
IA,37,97133
IA,38,96963
IA,39,96783
IA,40,96612
IA,41,96411
IA,42,96180
IA,43,95960
IA,44,95728
IA,45,95467
IA,46,95194
IA,47,94883
IA,48,94594
IA,49,94251
IA,50,93808
IA,51,93380
IA,52,92955
IA,53,92454
IA,54,91963
IA,55,91400
IA,56,90794
IA,57,90207
IA,58,89574
IA,59,88863
IA,60,87990
IA,61,87124
IA,62,86185
IA,63,85197
IA,64,84196
IA,65,83139
IA,66,81909
IA,67,80701
IA,68,79476
IA,69,78150
IA,70,76774
IA,71,75167
IA,72,73554
IA,73,71839
IA,74,69936
IA,75,67919
IA,76,65626
IA,77,63396
IA,78,60997
IA,79,58298
IA,80,55550
IA,81,52632
IA,82,49363
IA,83,46030
IA,84,42866
IA,85,39358
IA,86,36068
IA,87,32668
IA,88,29128
IA,89,25602
IA,90,22209
IA,91,18930
IA,92,15862
IA,93,13002
IA,94,10449
IA,95,8177
IA,96,6288
IA,97,4713
IA,98,3438
IA,99,2437
IA,100,1676
KS,0,100000
KS,1,99401
KS,2,99349
KS,3,99332
KS,4,99307
KS,5,99294
KS,6,99278
KS,7,99270
KS,8,99263
KS,9,99250
KS,10,99225
KS,11,99192
KS,12,99182
KS,13,99160
KS,14,99141
KS,15,99116
KS,16,99078
KS,17,99026
KS,18,98951
KS,19,98864
KS,20,98766
KS,21,98669
KS,22,98578
KS,23,98488
KS,24,98353
KS,25,98243
KS,26,98113
KS,27,98001
KS,28,97855
KS,29,97710
KS,30,97561
KS,31,97364
KS,32,97210
KS,33,96957
KS,34,96755
KS,35,96612
KS,36,96408
KS,37,96239
KS,38,95985
KS,39,95714
KS,40,95464
KS,41,95217
KS,42,94971
KS,43,94653
KS,44,94323
KS,45,94008
KS,46,93669
KS,47,93275
KS,48,92934
KS,49,92633
KS,50,92237
KS,51,91873
KS,52,91414
KS,53,90967
KS,54,90409
KS,55,89796
KS,56,89177
KS,57,88461
KS,58,87763
KS,59,86913
KS,60,86099
KS,61,85153
KS,62,84202
