Austria, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 05/08/2021
Year    Age        Exposure
1980     13        61739.77
1980     14        62228.04
1980     15        64619.09
1980     16        65503.11
1980     17        66184.92
1980     18        65106.41
1980     19        63447.19
1980     20        61561.28
1980     21        59984.90
1980     22        58456.78
1980     23        58070.45
1980     24        55954.15
1980     25        52618.27
1980     26        51102.84
1980     27        50444.09
1980     28        49527.80
1980     29        49789.83
1980     30        50399.53
1980     31        53263.85
1980     32        54050.72
1980     33        53002.68
1980     34        39103.16
1980     35        45925.88
1980     36        51194.05
1980     37        49485.57
1980     38        54827.44
1980     39        59220.52
1980     40        63496.13
1980     41        51445.13
1980     42        39422.62
1980     43        38046.42
1980     44        38198.06
1980     45        38642.56
1980     46        39509.91
1980     47        41261.96
1980     48        42226.02
1980     49        43933.53
1980     50        44582.25
1980     51        44613.68
1980     52        44746.70
1980     53        46677.27
1980     54        49804.33
1980     55        52335.70
1981     12        59983.13
1981     13        61315.29
1981     14        62137.52
1981     15        62659.37
1981     16        65002.13
1981     17        65909.58
1981     18        66520.56
1981     19        65459.09
1981     20        63789.64
1981     21        61874.59
1981     22        60197.02
1981     23        58699.36
1981     24        58321.75
1981     25        56141.77
1981     26        52740.92
1981     27        51176.59
1981     28        50454.24
1981     29        49535.79
1981     30        49791.72
1981     31        50417.71
1981     32        53256.53
1981     33        54048.92
1981     34        53009.65
1981     35        39134.81
1981     36        45942.54
1981     37        51220.75
1981     38        49470.71
1981     39        54839.54
1981     40        59231.86
1981     41        63491.91
1981     42        51382.43
1981     43        39419.80
1981     44        38036.13
1981     45        38181.67
1981     46        38604.47
1981     47        39462.08
1981     48        41182.14
1981     49        42134.86
1981     50        43841.29
1981     51        44469.69
1981     52        44451.32
1981     53        44595.18
1981     54        46527.39
