"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"1-4 years"	"1-4"	"Aug., 2001"	"2001/08"	400	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Sep., 2001"	"2001/09"	393	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Oct., 2001"	"2001/10"	392	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Nov., 2001"	"2001/11"	418	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Dec., 2001"	"2001/12"	386	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Jan., 2002"	"2002/01"	394	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Feb., 2002"	"2002/02"	408	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Mar., 2002"	"2002/03"	471	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Apr., 2002"	"2002/04"	404	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"May, 2002"	"2002/05"	408	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Jun., 2002"	"2002/06"	424	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Jul., 2002"	"2002/07"	460	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Aug., 2002"	"2002/08"	358	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Sep., 2002"	"2002/09"	372	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Oct., 2002"	"2002/10"	365	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Nov., 2002"	"2002/11"	393	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Dec., 2002"	"2002/12"	401	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Jan., 2003"	"2003/01"	406	Not Applicable	Not Applicable
