Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2000:Q1,age55to69,36,33.8,26.4,26.7,42.8,34.2,41.5,30,19.5,17.6,19,40.1
2000:Q1,age40to54,35.8,36.7,38.1,38.4,32,43.1,36.4,31.8,42.8,47.1,33.8,30.8
2000:Q1,ageunder40,9.6,12.8,17.6,25.1,6.8,11.3,10.3,12.7,33.3,31.7,45.6,7
2000:Q2,age70plus,19.5,17.4,18.1,10.1,19.9,11.9,13.9,26,4.4,3.6,1.8,21.6
2000:Q2,age55to69,35.1,32.9,26.2,26.5,41,33.8,40.3,29.5,19.2,17.6,18.3,39.2
2000:Q2,age40to54,36,37,38.2,38.6,32.1,43.3,35.8,32.5,43.2,47.2,34.5,32.5
2000:Q2,ageunder40,9.4,12.7,17.4,24.8,6.9,11,10,12,33.2,31.6,45.3,6.7
2000:Q3,age70plus,19.6,17.5,17.4,10.3,20.3,11.9,14.6,26.6,4.4,3.6,2.1,21.8
2000:Q3,age55to69,34.9,32.7,26.3,26.5,40.6,33.7,39.8,28.9,18.6,17,17.7,39.5
2000:Q3,age40to54,36,37.1,38.9,38.7,32,43.6,35.9,31.9,44.2,48.5,35.1,32.4
2000:Q3,ageunder40,9.5,12.7,17.5,24.5,7,10.7,9.7,12.6,32.9,31,45.1,6.3
2000:Q4,age70plus,20.5,18.3,18,10.9,21.8,12.2,16.1,27.1,4.3,3.6,2.6,20.5
2000:Q4,age55to69,34,31.8,26.2,26.1,38.3,33.5,38.2,29.4,18.2,17.4,16.2,37.1
2000:Q4,age40to54,36.1,37.3,38.7,39,32.5,43.9,36.2,31.3,44.1,47.4,36.8,35.9
2000:Q4,ageunder40,9.3,12.7,17.2,24.1,7.4,10.4,9.5,12.2,33.4,31.6,44.4,6.4
2001:Q1,age70plus,20.9,18.5,18.4,11.7,22.1,12.2,16.7,27.2,4.2,3.6,2.9,19.4
2001:Q1,age55to69,33.5,31.2,25.9,25.7,36.8,33.5,37.1,30.4,17.7,17.5,14.9,34.8
2001:Q1,age40to54,36.4,37.6,38.6,39.2,33.1,44.4,37.1,31,44.7,47.1,38.8,39.8
2001:Q1,ageunder40,9.2,12.6,17,23.4,8,9.8,9.2,11.3,33.4,31.8,43.4,5.9
2001:Q2,age70plus,20.2,17.9,18.3,11.5,20.6,11.8,15.2,26.5,4,3.4,2.7,19.4
2001:Q2,age55to69,34.3,32,26,25.8,38.4,33.8,38.9,31.1,17.8,17.3,15.6,35.3
2001:Q2,age40to54,36.6,37.7,38.8,39.2,32.8,44.7,37.4,31.3,44.5,46.9,38.4,39.7
2001:Q2,ageunder40,8.9,12.4,16.9,23.5,8.2,9.6,8.5,11.1,33.8,32.4,43.3,5.6
2001:Q3,age70plus,20.7,18.2,17.8,12.4,21.6,12.1,16.4,27.2,4.4,3.5,3.2,21.4
2001:Q3,age55to69,33.9,31.4,26.1,25.5,36.1,33.9,37.4,32.1,17.5,17,13.9,38.9
2001:Q3,age40to54,36.7,38,39.2,39.3,33.4,45,38,30.6,45.6,48.1,41,34.4
2001:Q3,ageunder40,8.8,12.3,16.9,22.8,8.9,9.1,8.2,10.2,32.5,31.4,41.8,5.3
